    x     F(x)
    0        4
    1        1
    2        2
    3        2
    4        3
    5        5
    6        3
    7        5
    8        8
    9        5
   10        6
   11       11
   12        7
   13        7
   14       14
   15       10
   16        8
   17       16
   18       13
   19       10
   20       18
   21       16
   22       11
   23       18
   24       21
   25       13
   26       19
   27       25
   28       15
   29       19
   30       30
   31       17
   32       19
   33       33
   34       20
   35       19
   36       36
   37       23
   38       20
   39       37
   40       28
   41       21
   42       37
   43       33
   44       22
   45       36
   46       39
   47       24
   48       34
   49       45
   50       26
   51       33
   52       51
   53       29
   54       32
   55       55
   56       32
   57       32
   58       58
   59       37
   60       31
   61       58
   62       43
   63       32
   64       56
   65       50
   66       33
   67       53
   68       57
   69       35
   70       50
   71       65
   72       37
   73       47
   74       72
   75       41
   76       45
   77       77
   78       45
   79       44
   80       80
   81       51
   82       43
   83       79
   84       58
   85       43
   86       75
   87       66
   88       44
   89       71
   90       75
   91       46
   92       66
   93       85
   94       48
   95       62
   96       93
   97       52
   98       59
   99       99
  100       57
